shot,status,reason,n_samples,n_windows,duration_ms,k_in_mean,k_in_std,k_in_max,k_in_min,n_events,event_severity_max,B_mean,S_mean,R_mean,D_mean,I_mean
1002593,ok,60ch_prm,766241,10,1.318,0.065037,0.056446,0.192569,0.000908,0,0.0,0.738095,0.010832,0.715474,0.002096,0.412412
1002643,ok,60ch_prm,765385,10,1.405,0.059877,0.057199,0.199425,0.000882,1,0.08421304373251141,0.716667,0.01,0.695431,0.002015,0.434611
1002654,ok,60ch_prm,765111,10,1.337,0.063134,0.055667,0.198388,0.00099,0,0.0,0.69881,0.010333,0.707899,0.001979,0.421018
75660,ok,60ch_prm,1013781,14,14.198,0.160524,0.078371,0.326737,0.0,1,1.8368179006096386,0.624762,0.852196,0.732884,0.001686,0.381871
75685,ok,80ch_prm,1717476,23,23.574,0.153506,0.053492,0.361706,0.054764,0,0.0,0.349104,0.087315,0.444652,0.00157,0.57714
75702,ok,48ch_prm,939818,19,19.584,0.153262,0.052341,0.312531,0.002446,0,0.0,0.461712,0.068008,0.509371,0.004304,0.516004
75707,ok,32ch_prm,618967,20,20.029,0.108858,0.045768,0.182825,0.0,1,0.5834929305484343,0.305981,0.009687,0.403112,0.003002,0.607847
75727,ok,80ch_prm,1717855,23,23.477,0.155477,0.051151,0.326149,0.058085,1,1.5713637389223414,0.347137,0.087078,0.444154,0.001509,0.576883
75728,ok,32ch_prm,641715,20,20.032,0.121654,0.034048,0.179446,0.0,0,0.0,0.301144,0.01,0.407723,0.003677,0.604353
75774,ok,48ch_prm,942242,19,19.564,0.149605,0.053206,0.345738,0.079215,1,0.5816390633373931,0.463242,0.071532,0.508508,0.003664,0.519867
75783,ok,32ch_prm,647434,20,20.023,0.118231,0.039229,0.182141,0.0,1,0.5833000942910946,0.304455,0.009687,0.402055,0.003727,0.609727
75805,ok,48ch_prm,1578571,20,20.622,0.14415,0.048391,0.256025,0.064341,1,1.8516951692975816,0.306774,0.492791,0.400416,0.001687,0.606744
75815,ok,48ch_prm,938053,19,19.843,0.144142,0.049967,0.313218,0.063939,0,0.0,0.463423,0.0645,0.504559,0.003772,0.523615
75835,ok,48ch_prm,1795977,23,23.359,0.142838,0.067323,0.297944,0.00098,1,3.1702301178305654,0.316809,0.451053,0.400302,0.001308,0.622625
75844,ok,48ch_prm,956236,18,18.721,0.147388,0.048636,0.364308,0.076936,0,0.0,0.444735,0.075199,0.484364,0.003511,0.541227
75847,ok,32ch_prm,706247,24,24.412,0.161984,0.083881,0.3051,0.0,1,3.688526941747884,0.368987,0.59999,0.466232,0.00235,0.609251
75857,ok,60ch_prm,1210819,17,17.841,0.331292,0.138506,0.543443,0.0,1,9.108195814759364,0.574771,0.894752,0.660706,0.013556,0.476835
75866,ok,60ch_prm,1110392,17,17.269,0.217145,0.08715,0.35609,0.0,1,7.559036711116041,0.565581,0.885497,0.735605,0.002236,0.434288
75885,ok,32ch_prm,905124,36,36.993,0.184184,0.081242,0.320713,0.0,2,61.33391980788444,0.39189,0.600299,0.481738,0.002613,0.590526
75895,ok,32ch_prm,880037,34,34.221,0.171207,0.07867,0.323717,0.0,2,14.637125093405468,0.38439,0.600299,0.53568,0.002479,0.569339
75903,ok,80ch_prm,1716111,23,23.736,0.153006,0.054885,0.311996,0.001459,2,1.7991675853016027,0.380698,0.089284,0.463715,0.001408,0.566522
75918,ok,32ch_prm,864811,30,30.267,0.24976,0.149599,0.691828,0.0,2,11.359913688052387,0.407466,0.597187,0.471072,0.018179,0.591029
75919,ok,60ch_prm,1131114,17,17.384,0.298985,0.116112,0.47303,0.0,1,9.768085994707459,0.58565,0.886485,0.515509,0.007834,0.574267
75928,ok,32ch_prm,730446,25,25.053,0.217731,0.138637,0.602811,0.0,1,6.806113722235326,0.4266,0.5975,0.525141,0.021377,0.580346
75958,ok,60ch_prm,1123783,17,17.379,0.186446,0.0702,0.316507,0.0,1,8.014411020156128,0.602685,0.885663,0.638406,0.000843,0.48564
75959,ok,60ch_prm,1207758,18,18.585,0.309426,0.117732,0.529091,0.0,1,12.66056772028806,0.561729,0.885663,0.55306,0.007846,0.525172
75963,ok,60ch_prm,1191829,18,18.502,0.298611,0.118503,0.483253,0.0,1,23.210986622718128,0.563521,0.885993,0.501332,0.008134,0.5745
75992,ok,32ch_prm,706475,24,24.374,0.157544,0.062501,0.280529,0.0,1,3.773430137156378,0.408836,0.59937,0.497001,0.00208,0.582391
75996,ok,48ch_prm,936976,19,19.657,0.145851,0.049459,0.275774,0.045385,1,0.5801991037566328,0.495869,0.067595,0.532451,0.003659,0.49458
75997,ok,32ch_prm,682703,24,24.553,0.154287,0.073064,0.278106,0.0,1,3.8514972413335573,0.278163,0.573082,0.413147,0.001853,0.614669
76020,ok,48ch_prm,938232,19,19.611,0.145297,0.048207,0.268159,0.059247,1,0.5741071328593645,0.45707,0.066162,0.504022,0.003681,0.522047
76042,ok,80ch_prm,1723444,24,24.362,0.165201,0.053921,0.304125,0.06062,1,2.2424876811255845,0.379013,0.096675,0.460741,0.001715,0.567979
76045,ok,60ch_prm,1065860,16,16.779,0.159737,0.070619,0.337933,0.0,1,3.0985595040276377,0.458815,0.845157,0.542016,0.001286,0.514554
76059,ok,80ch_prm,3412600,46,46.442,0.131864,0.039063,0.256701,0.043442,3,15.818546077310645,0.072432,0.220738,0.271027,0.002116,0.729313
76061,ok,48ch_prm,957511,18,18.732,0.148372,0.053865,0.335444,0.054194,1,0.5713002713109806,0.440308,0.079947,0.482577,0.003861,0.541414
76065,ok,48ch_prm,954006,18,18.343,0.152031,0.051592,0.291999,0.056847,1,0.593389416825073,0.433945,0.07973,0.482854,0.003777,0.540915
76100,ok,48ch_prm,957143,18,18.421,0.155087,0.061089,0.395308,0.063015,0,0.0,0.431928,0.079338,0.48507,0.004179,0.538061
76102,ok,80ch_prm,1718867,24,24.37,0.157472,0.052854,0.3058,0.001316,0,0.0,0.361803,0.087756,0.458896,0.001594,0.567152
76105,ok,60ch_prm,1176232,17,17.695,0.275232,0.103582,0.396792,0.0,1,6.021239407298135,0.582502,0.885663,0.54967,0.004873,0.556311
76116,ok,80ch_prm,1720685,24,24.289,0.158528,0.053446,0.306028,0.071946,0,0.0,0.369492,0.091706,0.457285,0.001503,0.56786
76136,ok,48ch_prm,958041,18,18.483,0.152537,0.050019,0.299691,0.071128,0,0.0,0.430193,0.078285,0.489284,0.003877,0.533108
76144,ok,32ch_prm,596303,20,20.066,0.119951,0.042162,0.258474,0.0,0,0.0,0.286694,0.012798,0.395529,0.002842,0.613524
76148,ok,80ch_prm,1720431,24,24.178,0.161116,0.056528,0.306255,0.00145,2,1.8580592025013627,0.374694,0.094099,0.462895,0.001573,0.56231
76153,ok,80ch_prm,1721584,24,24.072,0.164061,0.053756,0.319721,0.058973,0,0.0,0.377867,0.097957,0.461667,0.001549,0.566027
76163,ok,60ch_prm,1126486,17,17.256,0.28452,0.109478,0.487482,0.0,2,8.323846226354737,0.579276,0.886648,0.593732,0.005742,0.513274
76187,ok,48ch_prm,964048,18,18.465,0.1454,0.055499,0.290337,0.001525,1,0.677636333146327,0.468339,0.081544,0.494476,0.003453,0.529122
76190,ok,48ch_prm,2103149,75,75.31,0.16069,0.059961,0.316602,0.063834,2,171.57153212581628,0.463791,0.332868,0.448052,0.001961,0.563629
76237,ok,48ch_prm,961084,18,18.46,0.144648,0.057694,0.275742,0.00139,1,0.5906530284354766,0.441109,0.078911,0.492065,0.003003,0.529042
76261,ok,48ch_prm,955087,18,18.571,0.151185,0.058979,0.393487,0.080208,0,0.0,0.437142,0.077861,0.477293,0.004081,0.545902
76275,ok,32ch_prm,601260,20,20.061,0.11995,0.038894,0.205738,0.0,1,0.5733890476805431,0.297302,0.012798,0.395392,0.003204,0.614045
76284,ok,80ch_prm,1720838,23,23.905,0.162766,0.053979,0.318646,0.001522,0,0.0,0.369802,0.091485,0.459965,0.001671,0.567397
76288,ok,32ch_prm,593109,19,19.965,0.126359,0.035727,0.183224,0.0,0,0.0,0.306023,0.012489,0.405911,0.003686,0.605668
76295,ok,60ch_prm,1088979,17,17.364,0.173924,0.061626,0.281882,0.0,2,4.684435504946141,0.570725,0.885497,0.710004,0.000872,0.39768
76307,ok,32ch_prm,599059,19,19.993,0.117036,0.040051,0.192583,0.0,1,0.562153004083408,0.308915,0.011559,0.399046,0.003267,0.610572
76310,ok,60ch_prm,1082980,17,17.099,0.159087,0.077224,0.296754,0.0,1,2.543540839066674,0.545248,0.885497,0.66465,0.000776,0.426687
76311,ok,48ch_prm,953779,18,18.928,0.152653,0.064385,0.402222,0.001474,0,0.0,0.432586,0.078483,0.481298,0.003626,0.538374
76332,ok,32ch_prm,621997,21,21.014,0.092799,0.050856,0.22968,0.0,1,0.7542705085047406,0.153618,0.01748,0.320216,0.002776,0.686618
76375,ok,48ch_prm,1812724,84,84.209,0.203252,0.053944,0.300585,0.064331,3,269.3283387967185,0.378965,0.756266,0.440246,0.001828,0.605764
76379,ok,32ch_prm,795179,28,28.359,0.218285,0.121498,0.592967,0.0,1,7.190046940041491,0.435501,0.598436,0.500731,0.01511,0.605543
76400,ok,80ch_prm,2659578,84,84.841,0.219594,0.085224,0.372735,0.0,1,359.06321192235777,0.444169,0.711637,0.538641,0.003155,0.524771
76405,ok,32ch_prm,832615,31,31.109,0.152678,0.069686,0.273877,0.0,3,7.277514960479298,0.408572,0.600299,0.502096,0.002347,0.587636
76414,ok,48ch_prm,1778837,84,84.131,0.187044,0.060954,0.328376,0.001659,0,0.0,0.323085,0.684618,0.428028,0.001829,0.616734
76418,ok,60ch_prm,1157488,18,18.751,0.294149,0.10928,0.440335,0.0,1,17.79708110899088,0.582044,0.885497,0.470682,0.00713,0.602976
76431,ok,80ch_prm,3346635,47,47.288,0.208663,0.058062,0.322785,0.072321,2,13.834131559299268,0.417125,0.742203,0.501093,0.001876,0.556234
76468,ok,60ch_prm,1205514,18,18.332,0.290722,0.113847,0.489316,0.0,1,5.825025665179511,0.544826,0.885828,0.501874,0.006305,0.578152
76474,ok,48ch_prm,1780368,83,83.765,0.211956,0.059445,0.345079,0.090537,6,232.03220983087672,0.379297,0.712482,0.465994,0.00214,0.582904
76489,ok,48ch_prm,2083811,84,84.384,0.244492,0.067647,0.367019,0.085698,0,0.0,0.473747,0.80819,0.53095,0.002873,0.534486
76495,ok,32ch_prm,646923,22,22.455,0.1692,0.072644,0.285865,0.0,2,2.845065904333325,0.42393,0.59968,0.514285,0.00238,0.60849
76502,ok,80ch_prm,3602285,51,51.988,0.209993,0.066381,0.330159,0.073863,3,14.746747302371464,0.525413,0.742569,0.586989,0.001925,0.547741
76533,ok,60ch_prm,1161339,17,17.964,0.328111,0.137321,0.526361,0.0,1,11.183389423604993,0.538059,0.900833,0.508545,0.011591,0.566635
76576,ok,60ch_prm,1239088,18,18.593,0.282434,0.102163,0.368604,0.0,1,42.833340798961736,0.648798,0.893916,0.805229,0.009488,0.391173
76584,ok,32ch_prm,812661,28,28.453,0.172814,0.073373,0.273493,0.0,2,2.3458687090287045,0.442272,0.631549,0.561133,0.002441,0.574824
76615,ok,80ch_prm,3158551,43,43.268,0.223566,0.096543,0.485334,0.0,0,0.0,0.275302,0.513575,0.404969,0.009518,0.614724
76624,ok,32ch_prm,736594,24,24.871,0.181581,0.081323,0.336106,0.0,1,6.903042807342281,0.438726,0.628437,0.515564,0.002706,0.604434
76640,ok,32ch_prm,687706,23,23.171,0.207632,0.095969,0.356162,0.0,2,7.071051972655836,0.406674,0.631549,0.522387,0.004121,0.58182
76663,ok,32ch_prm,779065,27,27.746,0.157097,0.088145,0.334707,0.0,3,1.4521308480987518,0.388365,0.449035,0.41061,0.003164,0.622273
76674,ok,32ch_prm,732627,23,23.131,0.184828,0.105057,0.559298,0.0,1,4.605509309511816,0.410004,0.629374,0.469002,0.008666,0.579529
76699,ok,32ch_prm,704356,22,22.45,0.134366,0.078718,0.449347,0.0,1,0.9973143937595607,0.206043,0.195576,0.349444,0.008633,0.655972
76704,ok,48ch_prm,1860425,85,85.807,0.174199,0.065745,0.368074,0.002928,1,302.3721452630847,0.261808,0.619575,0.381131,0.001707,0.62935
76707,ok,32ch_prm,694266,22,22.248,0.137379,0.073433,0.352993,0.0,1,1.0628824017735923,0.196195,0.512457,0.35633,0.002491,0.648275
76747,ok,60ch_prm,1184656,19,19.303,0.315861,0.125943,0.492814,0.0,1,44.507828513644654,0.557153,0.885497,0.535151,0.008997,0.537083
76754,ok,32ch_prm,843947,28,28.706,0.183818,0.082991,0.354318,0.0,2,19.41955135939036,0.394944,0.63124,0.465146,0.002561,0.599497
76771,ok,48ch_prm,1991770,85,85.299,0.223397,0.059743,0.350247,0.109714,5,487.86651877742133,0.473079,0.778456,0.506043,0.002154,0.555928
76780,ok,32ch_prm,650307,21,21.061,0.170794,0.067616,0.313442,0.0,2,6.59773529326541,0.408148,0.63124,0.540549,0.002501,0.591896
76787,ok,48ch_prm,945021,19,19.724,0.136856,0.059269,0.306324,0.001444,1,0.5689209083870973,0.454313,0.068415,0.503078,0.003194,0.521376
76831,ok,80ch_prm,3445834,48,48.831,0.209884,0.06791,0.335903,0.001957,3,22.797675232356475,0.540675,0.761165,0.594041,0.001897,0.522407
76858,ok,80ch_prm,3535740,51,51.334,0.21735,0.066137,0.364082,0.090078,2,31.754985608562322,0.518873,0.768777,0.580657,0.002272,0.551788
76867,ok,48ch_prm,2061674,84,84.637,0.230465,0.0541,0.322913,0.093401,2,761.438323435326,0.50027,0.847421,0.505595,0.002151,0.570525
76878,ok,60ch_prm,1106350,17,17.268,0.256329,0.097152,0.401969,0.0,1,4.7536895144718905,0.561353,0.885497,0.569965,0.003375,0.517037
76892,ok,80ch_prm,3215443,45,45.744,0.160731,0.044967,0.259781,0.077339,2,14.253623223587748,0.231709,0.151256,0.364561,0.001627,0.645265
76895,ok,32ch_prm,612061,20,20.05,0.135838,0.06421,0.330973,0.0,1,0.9083523545409019,0.178757,0.484752,0.323976,0.002245,0.680077
76911,ok,92ch_prm,1711277,16,16.939,0.200884,0.104058,0.377583,0.0,1,4.316835762453791,0.43694,0.581627,0.435462,0.003337,0.604048
76913,ok,32ch_prm,616398,20,20.072,0.11198,0.039141,0.185463,0.0,1,0.5794747621769218,0.28187,0.012182,0.387333,0.002953,0.624144
76968,ok,48ch_prm,1841715,84,84.207,0.175823,0.052748,0.29028,0.08675,1,265.78720230853855,0.283733,0.671078,0.405023,0.001395,0.612937
76975,ok,32ch_prm,736848,27,27.157,0.204322,0.099872,0.337288,0.0,2,28.664814668858405,0.409342,0.597187,0.474543,0.003678,0.595638
76979,ok,60ch_prm,1171682,17,17.16,0.307621,0.121464,0.481252,0.0,1,6.5890330094787055,0.601046,0.887296,0.557172,0.008709,0.542164
76985,ok,60ch_prm,1177463,17,17.518,0.30355,0.118089,0.549856,0.0,1,8.649746759298795,0.611414,0.894551,0.620571,0.008246,0.50564
77035,ok,48ch_prm,1841575,84,84.198,0.22641,0.084758,0.361586,0.001805,7,275.155223099617,0.472912,0.741235,0.510297,0.003107,0.561014
77047,ok,48ch_prm,1891491,84,84.164,0.222448,0.076324,0.359766,0.072946,6,261.410462369049,0.482223,0.754308,0.510998,0.00251,0.568515
77083,ok,60ch_prm,1218246,17,17.275,0.27704,0.097338,0.388086,0.0,2,10.06803054226595,0.618467,0.894448,0.814619,0.008348,0.384111
77091,ok,60ch_prm,1080650,17,17.587,0.323498,0.135139,0.479049,0.0,1,12.24483629943659,0.531628,0.885497,0.52597,0.011049,0.541704
77106,ok,60ch_prm,1073012,16,16.595,0.184034,0.079003,0.329184,0.0,1,0.7146124823986775,0.628766,0.533873,0.633794,0.002738,0.441333
77122,ok,80ch_prm,3372640,47,47.527,0.200574,0.061426,0.3173,0.079275,2,14.089904151554759,0.47143,0.738512,0.526713,0.001784,0.541358
77126,ok,80ch_prm,3334351,47,47.221,0.201465,0.060469,0.312184,0.06863,1,11.94728002517728,0.371033,0.657718,0.445511,0.002022,0.586347
77167,ok,48ch_prm,1730368,83,83.457,0.176536,0.063314,0.361012,0.003513,1,207.99932066956373,0.238814,0.470473,0.366446,0.001858,0.637931
77172,ok,60ch_prm,1131317,17,17.449,0.174781,0.067521,0.343093,0.0,1,3.9094265564146364,0.596966,0.873838,0.659857,0.00115,0.433452
77173,ok,60ch_prm,1116337,17,17.19,0.242684,0.089393,0.392634,0.0,1,3.5735101790816266,0.588963,0.86278,0.591602,0.002788,0.47974
77174,ok,80ch_prm,3153290,44,44.191,0.184348,0.061175,0.338897,0.0,1,16.359145423890574,0.409634,0.140638,0.423511,0.003555,0.58189
77181,ok,80ch_prm,3143810,44,44.26,0.188748,0.049522,0.342118,0.075635,0,0.0,0.365776,0.177079,0.417086,0.001942,0.589535
77185,ok,60ch_prm,1098273,16,16.831,0.243493,0.102191,0.374723,0.0,1,3.302116745361981,0.546431,0.885497,0.597829,0.00288,0.496503
77187,ok,80ch_prm,3195037,44,44.907,0.146289,0.036958,0.25471,0.066824,1,12.111992032692227,0.166556,0.13371,0.324943,0.001715,0.681709
77209,ok,32ch_prm,897296,38,38.485,0.205379,0.103901,0.34169,0.0,1,26.210989584523514,0.376938,0.597187,0.48356,0.005468,0.563554
77227,ok,60ch_prm,1173754,18,18.108,0.337596,0.137619,0.511232,0.0,0,0.0,0.562259,0.885993,0.52351,0.012562,0.558506
77232,ok,60ch_prm,1057960,16,16.847,0.134714,0.063129,0.261952,0.0,1,0.6568865959965997,0.369389,0.702856,0.44244,0.001078,0.583946
77235,ok,60ch_prm,1171742,17,17.657,0.225117,0.083293,0.351141,0.0,1,2.757171739300982,0.64191,0.885495,0.625388,0.002425,0.496152
77236,ok,60ch_prm,1122695,17,17.176,0.177729,0.076473,0.383279,0.0,1,3.483788742159891,0.627073,0.885663,0.652364,0.001077,0.51848
77284,ok,48ch_prm,1969817,84,84.518,0.24059,0.075647,0.427018,0.090369,3,264.7288222294656,0.454101,0.799195,0.518676,0.003363,0.52987
77289,ok,80ch_prm,3609739,51,51.575,0.21253,0.05546,0.31397,0.098151,2,21.79549494735093,0.523526,0.723193,0.565269,0.001896,0.539364
77293,ok,32ch_prm,847716,31,31.859,0.189889,0.091828,0.308692,0.0,3,14.094969279853006,0.434406,0.597187,0.51318,0.003154,0.556309
77294,ok,80ch_prm,3181196,44,44.961,0.163817,0.040919,0.312135,0.075843,1,12.048798736803597,0.262091,0.142054,0.371393,0.001738,0.636795
77342,ok,48ch_prm,1984105,84,84.847,0.237577,0.083947,0.36134,0.085946,0,0.0,0.453241,0.838325,0.510193,0.003296,0.559779
77389,ok,60ch_prm,1135001,17,17.117,0.198625,0.085903,0.406905,0.0,1,1.404270273131209,0.573576,0.885497,0.57615,0.001841,0.515803
77399,ok,48ch_prm,941334,19,19.76,0.147056,0.043947,0.279615,0.077714,0,0.0,0.462455,0.066573,0.512724,0.003216,0.512699
77423,ok,60ch_prm,1197037,17,17.907,0.373384,0.147941,0.559558,0.0,1,12.90358089833981,0.520209,0.885993,0.464885,0.024388,0.599476
77424,ok,140ch_prm,2970604,18,18.494,0.235579,0.135553,0.589907,0.0,1,20.105949766176177,0.463494,0.435965,0.56418,0.010829,0.525014
77443,ok,48ch_prm,941737,19,19.798,0.145761,0.040586,0.288146,0.074697,2,0.5689850613153213,0.457953,0.065342,0.501874,0.003221,0.522119
77453,ok,60ch_prm,1137473,17,17.932,0.338698,0.140329,0.56429,0.0,1,15.28002238218256,0.543183,0.885497,0.688595,0.021426,0.4347
77457,ok,108ch_prm,2029951,17,17.699,0.24186,0.130597,0.497676,0.0,0,0.0,0.49842,0.521899,0.527339,0.006679,0.538067
77474,ok,48ch_prm,944785,19,19.767,0.142729,0.042179,0.289136,0.068028,0,0.0,0.465836,0.069063,0.502748,0.003173,0.526506
77498,ok,32ch_prm,599330,20,20.098,0.119385,0.040318,0.199308,0.0,1,0.5947898788647972,0.291834,0.012798,0.393601,0.003492,0.616901
77507,ok,80ch_prm,1709726,24,24.09,0.142904,0.058698,0.300867,0.001021,2,1.8845434460367316,0.366859,0.078121,0.461011,0.001525,0.568386
77514,ok,80ch_prm,3160583,44,44.325,0.170862,0.042987,0.271567,0.070973,0,0.0,0.156452,0.504912,0.324956,0.002024,0.679012
77523,ok,92ch_prm,1829724,17,17.352,0.156163,0.074602,0.337141,0.0,1,2.004319335834487,0.491651,0.751843,0.602295,0.001452,0.522758
77551,ok,48ch_prm,1781496,83,83.644,0.157947,0.054073,0.263337,0.059034,1,191.11980470636738,0.194866,0.36675,0.34096,0.00151,0.663579
77567,ok,80ch_prm,3144819,44,44.102,0.16508,0.047913,0.322278,0.065639,2,10.663121072181445,0.206064,0.156687,0.351766,0.002073,0.656898
77573,ok,80ch_prm,3149831,43,43.984,0.170296,0.056626,0.296832,0.0,2,10.690167023952434,0.218612,0.150629,0.357376,0.003313,0.655563
77577,ok,32ch_prm,671015,24,24.413,0.11039,0.046461,0.259161,0.0,0,0.0,0.170581,0.045554,0.331636,0.00209,0.677128
77607,ok,60ch_prm,1108350,16,16.84,0.166908,0.087659,0.340563,0.0,2,1.4643739276564578,0.617884,0.885497,0.686584,0.00144,0.472109
77617,ok,80ch_prm,3163686,44,44.611,0.177102,0.055574,0.314728,0.089556,0,0.0,0.25334,0.478914,0.39104,0.001696,0.62504
77627,ok,48ch_prm,2228667,92,92.392,0.178658,0.060555,0.343902,0.057363,0,0.0,0.283237,0.618336,0.40664,0.001528,0.625307
77640,ok,80ch_prm,3152574,44,44.467,0.169169,0.050448,0.279822,0.051865,0,0.0,0.234866,0.16355,0.368329,0.001902,0.645852
77653,ok,48ch_prm,2332156,91,91.652,0.210699,0.070822,0.332298,0.069577,4,582.1278155147717,0.37544,0.763222,0.417588,0.002231,0.61082
77660,ok,60ch_prm,1079899,18,18.861,0.298745,0.113565,0.505766,0.0,1,40.347525711002405,0.525298,0.878065,0.509301,0.006751,0.56891
77662,ok,48ch_prm,2329493,92,92.391,0.208894,0.056099,0.323289,0.06214,1,588.8448144460474,0.385389,0.763898,0.442965,0.001944,0.586257
77674,ok,80ch_prm,3160022,44,44.409,0.172668,0.04679,0.331683,0.062895,1,10.350246325571193,0.169159,0.482684,0.326334,0.0018,0.677328
77677,ok,80ch_prm,3150505,44,44.04,0.17054,0.050175,0.295486,0.002162,0,0.0,0.17997,0.470824,0.331087,0.00188,0.673174
77691,ok,60ch_prm,1098863,17,17.334,0.250961,0.096353,0.419734,0.0,1,8.15668339461573,0.551907,0.868997,0.515244,0.003338,0.552557
77701,ok,32ch_prm,1179072,48,48.533,0.18461,0.089325,0.302615,0.0,2,12.300646974854613,0.463301,0.5975,0.56629,0.002699,0.532049
77712,ok,48ch_prm,2597463,92,92.614,0.207966,0.062289,0.346676,0.106682,0,0.0,0.419069,0.759696,0.487879,0.0018,0.555118
77715,ok,80ch_prm,3142337,44,44.102,0.188182,0.054109,0.322549,0.078392,1,11.821842453695616,0.323988,0.252295,0.393689,0.001821,0.614275
77722,ok,60ch_prm,1116991,17,17.078,0.265745,0.106819,0.444221,0.0,1,6.612817780643892,0.571809,0.868997,0.538313,0.004236,0.564375
77723,ok,80ch_prm,3205244,44,44.681,0.209712,0.095047,0.501772,0.0,1,10.874798572847224,0.332058,0.665484,0.431862,0.005456,0.592317
77725,ok,32ch_prm,925055,36,36.355,0.173176,0.080625,0.301571,0.0,0,0.0,0.421665,0.569674,0.513371,0.00242,0.588346
77762,ok,32ch_prm,1171494,50,50.155,0.181617,0.084804,0.327345,0.0,4,10.070275269326057,0.449422,0.572166,0.524896,0.002728,0.589282
77763,ok,48ch_prm,2484584,92,92.459,0.200592,0.058418,0.297653,0.075165,1,1359.560507280202,0.385837,0.73784,0.450341,0.001988,0.591718
77768,ok,80ch_prm,3385524,48,48.492,0.270632,0.06982,0.360186,0.002988,3,1760.7230226923825,0.52013,0.932691,0.749185,0.009531,0.33987
77775,ok,60ch_prm,1143389,18,18.047,0.290937,0.128818,0.475778,0.0,1,8.144255398745793,0.589443,0.869657,0.611486,0.007709,0.509833
77777,ok,60ch_prm,1145663,18,18.387,0.306782,0.131741,0.478022,0.0,1,6.904777983396714,0.574924,0.86799,0.653656,0.010835,0.447071
77786,ok,48ch_prm,2442122,92,92.771,0.191762,0.055201,0.310463,0.08839,1,657.1616266459873,0.360134,0.735037,0.444606,0.001786,0.602079
77795,ok,48ch_prm,2232816,92,92.17,0.179238,0.043082,0.264787,0.098733,1,1402.6957797722926,0.368017,0.667368,0.4375,0.001378,0.593969
77815,ok,32ch_prm,1050332,43,43.867,0.148456,0.072253,0.276779,0.0,2,10.828962969739992,0.439678,0.544954,0.494593,0.001443,0.59151
77818,ok,60ch_prm,1163720,18,18.284,0.332421,0.126165,0.50016,0.0,1,9.625953199553798,0.577489,0.871749,0.69095,0.018189,0.423643
77855,ok,60ch_prm,1173458,18,18.307,0.294724,0.117155,0.500818,0.0,1,9.505591564968485,0.591605,0.869493,0.61183,0.007253,0.547047
77869,ok,32ch_prm,890157,33,33.881,0.218227,0.122869,0.500259,0.0,1,7.201015969986456,0.291711,0.484344,0.419116,0.022972,0.603811
77885,ok,80ch_prm,3361938,47,47.212,0.201889,0.064258,0.338383,0.075039,3,19.99683214911802,0.478532,0.764816,0.549006,0.001608,0.507708
77902,ok,48ch_prm,2604982,94,94.99,0.234898,0.069088,0.343726,0.099618,5,1457.1743946113656,0.428599,0.843311,0.470287,0.00293,0.579759
77934,ok,48ch_prm,2062961,86,86.171,0.227831,0.077785,0.357241,0.086258,6,532.2691589750434,0.48747,0.809197,0.58855,0.002935,0.456165
77955,ok,60ch_prm,1199335,19,19.606,0.336704,0.145445,0.546762,0.0,1,55.16549903698869,0.544854,0.869493,0.532865,0.017305,0.548655
77958,ok,32ch_prm,1125421,45,45.492,0.167962,0.069514,0.271361,0.0,2,293.60447538142193,0.45804,0.597187,0.665255,0.002438,0.369096
77961,ok,48ch_prm,1922583,83,83.852,0.215345,0.061108,0.324812,0.002811,0,0.0,0.37952,0.765532,0.421844,0.002061,0.606808
77965,ok,48ch_prm,1879053,83,83.836,0.211978,0.064375,0.339419,0.102111,1,221.43417589884356,0.419846,0.837703,0.466706,0.00224,0.592519
77971,ok,48ch_prm,945966,19,19.744,0.145738,0.047077,0.283566,0.05938,1,0.5817869025682857,0.459441,0.068435,0.504544,0.003016,0.521047
77974,ok,60ch_prm,1123483,17,17.2,0.240605,0.088471,0.332368,0.0,1,3.5752141194619376,0.679761,0.871275,0.753546,0.003697,0.468393
77975,ok,60ch_prm,1127555,17,17.132,0.238379,0.080044,0.32241,0.0,1,4.223441250923233,0.67188,0.877306,0.756884,0.003373,0.476367
77979,ok,4ch_prm,9803375,2743,2743.155,0.12673,0.08577,0.264058,0.052874,1,1476.5027240310123,0.234142,1.0,0.354611,0.001,0.677804
77999,ok,60ch_prm,1126321,19,19.171,0.302974,0.117617,0.448684,0.0,1,45.523563964171345,0.571365,0.869163,0.569997,0.007313,0.531901
78022,ok,60ch_prm,1108780,18,18.592,0.32181,0.142877,0.485046,0.0,0,0.0,0.546283,0.868997,0.514472,0.011569,0.555956
78024,ok,48ch_prm,2090882,88,88.524,0.210174,0.064492,0.343518,0.067684,7,612.1571078987811,0.407954,0.808144,0.491282,0.002224,0.575165
78038,ok,32ch_prm,1396981,61,61.74,0.190022,0.106497,0.504315,0.0,5,577.5980422188081,0.459757,0.5975,0.624716,0.007381,0.418741
78039,ok,80ch_prm,3818113,57,57.029,0.311709,0.13521,0.579501,0.086074,1,42.24597769018963,0.525294,0.671149,0.577395,0.022049,0.490204
78063,ok,80ch_prm,3662106,54,54.185,0.314046,0.140251,0.6046,0.074798,1,62.15535020414575,0.539774,0.662611,0.565838,0.02328,0.497974
