shot,status,reason,n_samples,n_windows,duration_ms,k_in_mean,k_in_std,k_in_max,k_in_min,n_events,event_severity_max,B_mean,S_mean,R_mean,D_mean,I_mean
83371,ok,60ch_prm,1147375,18,18.88,0.33555,0.142058,0.502709,0.0,1,32.50676112749469,0.523477,0.856105,0.525921,0.014799,0.549533
83380,ok,7ch_prm,19251002,4573,4573.792,0.10551,0.065952,0.210849,0.0,3,1885.1090352313843,0.333796,0.715714,0.35002,0.000429,0.663854
83385,ok,32ch_prm,595363,19,19.394,0.114213,0.036446,0.207392,0.0,0,0.0,0.313366,0.012798,0.412332,0.003673,0.603463
83389,ok,32ch_prm,624334,19,19.561,0.122501,0.032922,0.197746,0.0,0,0.0,0.325034,0.011869,0.432654,0.003966,0.587537
83396,ok,32ch_prm,629600,19,19.733,0.122125,0.034073,0.16874,0.0,0,0.0,0.323911,0.009687,0.435743,0.003556,0.585633
83443,ok,60ch_prm,1107024,16,16.718,0.237273,0.11337,0.476831,0.0,1,47.68194533573478,0.524519,0.853826,0.695231,0.004834,0.417893
83452,ok,48ch_prm,940112,18,18.649,0.142236,0.049651,0.310145,0.066986,0,0.0,0.504073,0.085102,0.540619,0.004116,0.508323
83459,ok,32ch_prm,628231,20,20.007,0.121471,0.038591,0.206627,0.0,0,0.0,0.318366,0.009687,0.409168,0.004356,0.605616
83469,ok,48ch_prm,938943,18,18.244,0.143096,0.049455,0.285374,0.069261,0,0.0,0.514498,0.086729,0.54397,0.003684,0.508296
83470,ok,60ch_prm,1036999,16,16.105,0.302093,0.123179,0.444028,0.001576,2,35.73797778274535,0.53705,0.870493,0.578085,0.007413,0.532434
83477,ok,48ch_prm,937424,18,18.092,0.140928,0.048296,0.261917,0.063426,0,0.0,0.509517,0.084682,0.54823,0.004042,0.505107
83494,ok,48ch_prm,2111469,96,96.672,0.183716,0.04477,0.293636,0.108655,7,1555.1999136008205,0.494079,0.457264,0.558498,0.002544,0.483217
83525,ok,60ch_prm,1027075,20,20.09,0.278436,0.13339,0.455598,0.0,2,104.9614992223339,0.517604,0.853495,0.564084,0.006143,0.52818
83535,ok,48ch_prm,2257029,97,97.215,0.216281,0.060358,0.364691,0.078853,5,3416.76740505174,0.569085,0.702756,0.806411,0.006175,0.232085
83543,ok,80ch_prm,3080153,40,40.293,0.257034,0.089712,0.570989,0.003715,2,14.419962690659087,0.49414,0.8657,0.564193,0.009497,0.536598
83564,ok,48ch_prm,931359,18,18.024,0.139049,0.04659,0.267871,0.001458,0,0.0,0.532012,0.084271,0.549715,0.00342,0.509998
83588,ok,32ch_prm,649453,22,22.796,0.120116,0.05631,0.315258,0.0,0,0.0,0.170622,0.073434,0.32898,0.002609,0.678871
83605,ok,60ch_prm,1113248,18,18.009,0.280884,0.109047,0.448915,0.0,1,15.361653036050516,0.720636,0.878351,0.704594,0.008013,0.485285
83609,ok,140ch_prm,4568743,17,17.914,0.221724,0.099852,0.432842,0.0,1,28.92870297818414,0.449062,0.399166,0.561356,0.01206,0.545269
83614,ok,60ch_prm,1103832,17,17.755,0.257846,0.122987,0.445865,0.0,2,12.687143098428423,0.558057,0.868997,0.564247,0.005136,0.541223
83627,ok,60ch_prm,1086962,17,17.386,0.265489,0.118465,0.439826,0.0,1,11.52279267365338,0.580908,0.868282,0.575097,0.005706,0.525931
83628,ok,60ch_prm,1088178,17,17.457,0.272921,0.119215,0.437915,0.0,1,9.111508711514247,0.555086,0.868997,0.541367,0.005526,0.554745
83632,ok,80ch_prm,3459881,52,52.89,0.20053,0.093232,0.418568,0.0,3,29.468830567228146,0.3168,0.048291,0.437426,0.017272,0.575077
83636,ok,80ch_prm,3440735,52,52.565,0.194955,0.091402,0.39502,0.0,1,28.79858980922503,0.326948,0.045181,0.414325,0.017051,0.597442
83643,ok,80ch_prm,3448053,52,52.636,0.195867,0.094423,0.416032,0.0,0,0.0,0.29329,0.045683,0.403416,0.01755,0.610058
83662,ok,80ch_prm,3438258,52,52.274,0.203873,0.098438,0.412888,0.0,1,29.046340561247984,0.340241,0.048144,0.428941,0.017424,0.583379
83679,ok,80ch_prm,3459780,52,52.914,0.200005,0.099064,0.395208,0.0,1,32.155513119836854,0.354383,0.050148,0.44972,0.017316,0.561849
83686,ok,48ch_prm,2295767,97,97.95,0.246245,0.06789,0.362052,0.077334,5,2350.1342540374158,0.549542,0.71029,0.695813,0.006365,0.350513
83692,ok,32ch_prm,599669,20,20.116,0.124972,0.046108,0.234241,0.0,0,0.0,0.297898,0.012489,0.405991,0.004943,0.604596
83696,ok,7ch_prm,20931117,2984,2984.027,0.055016,0.023881,0.088116,0.019414,127,4.969573019888128,0.010413,0.574208,0.242844,0.000291,0.757162
83719,ok,32ch_prm,953744,38,38.315,0.22718,0.121924,0.525803,0.0,2,14.307904074321996,0.467534,0.541226,0.537142,0.01178,0.539117
83722,ok,48ch_prm,2410744,98,98.138,0.243399,0.093099,0.451717,0.002668,8,1463.2242256059048,0.499985,0.713195,0.54847,0.00553,0.492349
83723,ok,80ch_prm,3500203,52,52.734,0.203501,0.093006,0.395054,0.0,3,29.380836458480893,0.385168,0.045684,0.413247,0.019134,0.595711
83732,ok,32ch_prm,821381,30,30.842,0.200544,0.124701,0.562212,0.0,2,11.469139636433066,0.470585,0.516169,0.523649,0.012106,0.568085
83742,ok,60ch_prm,1139817,17,17.412,0.243349,0.095101,0.357519,0.0,2,25.37265833530259,0.600316,0.868997,0.716772,0.003915,0.434788
83750,ok,80ch_prm,3517861,52,52.506,0.220107,0.089442,0.430684,0.0,2,29.442417767567935,0.270435,0.051292,0.379932,0.029012,0.63119
83752,ok,60ch_prm,1127359,17,17.456,0.278797,0.136598,0.474142,0.0,2,8.0933244096601,0.54381,0.868997,0.576506,0.0071,0.529052
83760,ok,48ch_prm,2291021,98,98.402,0.229134,0.0603,0.327194,0.102246,3,1222.7265237979423,0.484096,0.619219,0.544643,0.004331,0.510479
83774,ok,60ch_prm,1146411,17,17.43,0.258973,0.107384,0.466553,0.0,1,9.32622533504311,0.55066,0.868997,0.627952,0.0045,0.478319
83784,ok,32ch_prm,911055,36,36.144,0.207044,0.113536,0.531566,0.0,2,16.3915353460254,0.439966,0.522304,0.520955,0.012181,0.551197
83791,ok,7ch_prm,19062839,3452,3452.324,0.165337,0.135697,0.326743,0.000328,107,2968.062439437553,0.330176,0.717143,0.416843,0.003882,0.624601
83802,ok,108ch_prm,3486123,17,17.439,0.265913,0.110187,0.47505,0.0,1,7.607375302954363,0.514516,0.796269,0.582373,0.00608,0.489406
83831,ok,80ch_prm,3574518,52,52.769,0.245802,0.092159,0.434885,0.059182,3,30.322257155429572,0.365832,0.087588,0.437577,0.029078,0.575995
83837,ok,48ch_prm,2551776,99,99.115,0.272878,0.078832,0.417514,0.102661,3,2495.6694081065707,0.542821,0.76381,0.679315,0.008547,0.379468
83854,ok,7ch_prm,17894507,3167,3167.028,0.109187,0.075437,0.248029,0.0,79,5205.9228014191685,0.367238,0.715714,0.458958,0.000644,0.585582
83855,ok,60ch_prm,1052727,18,18.35,0.257814,0.111771,0.412078,0.0,2,36.40086503093024,0.569238,0.868997,0.631464,0.004277,0.488669
83856,ok,60ch_prm,1028533,17,17.441,0.26573,0.105472,0.443804,0.0,2,11.94805741532907,0.566621,0.863672,0.563015,0.004187,0.545133
83858,ok,80ch_prm,3607666,52,52.921,0.273835,0.135638,0.687853,0.07449,2,30.874538053224374,0.400459,0.312608,0.511111,0.028388,0.504524
83873,ok,48ch_prm,938123,18,18.701,0.143434,0.043507,0.280801,0.076829,0,0.0,0.512605,0.085485,0.546787,0.004334,0.505799
83897,ok,32ch_prm,603292,19,19.941,0.128535,0.045006,0.233205,0.0,1,0.5617819861832524,0.31608,0.012798,0.412774,0.004572,0.599677
83902,ok,48ch_prm,938869,18,18.265,0.14463,0.046924,0.29589,0.082092,0,0.0,0.518594,0.084873,0.543904,0.004015,0.509553
83903,ok,32ch_prm,604604,19,19.926,0.121106,0.050787,0.22973,0.0,0,0.0,0.306953,0.012798,0.405207,0.004457,0.606017
83910,ok,80ch_prm,1670275,19,19.847,0.136607,0.05266,0.251575,0.001478,0,0.0,0.366545,0.063498,0.462051,0.001745,0.56428
83928,ok,55ch_prm,25489061,4349,4349.688,0.170228,0.068124,0.308296,0.02142,241,30.621147202546155,0.329392,0.508578,0.432546,0.002223,0.617295
